,Gender,Age,Annual Income (k$),Spending Score (1-100),Income cluster,Income Cluster,Spending and Income Cluster
189,Female,36,103,85,2,2,6
190,Female,34,103,23,2,2,5
191,Female,32,103,69,2,2,6
192,Male,33,113,8,4,4,5
193,Female,38,113,91,4,4,6
194,Female,47,120,16,4,4,5
195,Female,35,120,79,4,4,6
196,Female,45,126,28,4,4,5
197,Male,32,126,74,4,4,6
198,Male,32,137,18,4,4,5
199,Male,30,137,83,4,4,6
